origin,dest,count,average_delay
CLT,SLC,87,36.20408163
CLT,MEM,116,41.03703704
CLT,ABQ,68,41.95833333
CLT,STX,7,25.33333333
CLT,GSO,62,26.5
CLT,IAD,6,42.4
CLT,CHS,45,9.956521739
CLT,ROC,42,27.15384615
CLT,ILM,48,21.94444444
PHL,DFW,1731,40.25357143
PHL,CLT,901,29.67752443
PHL,MIA,1271,38.22782609
PHL,ORD,1153,42.25675676
PHL,BOS,1072,28.23342175
PHL,MCO,710,32.83544304
PHL,PHX,599,32.96153846
PHL,LAX,530,33.37078652
PHL,SEA,317,35.99065421
PHL,SAN,247,29.61403509
PHL,SJU,239,30.2755102
PHL,ATL,514,30.4673913
PHL,JAX,112,30.63043478
PHL,SFO,455,31.34615385
PHL,TPA,372,25.68309859
PHL,DEN,307,31.67924528
PHL,LAS,443,32.47794118
PHL,MSP,347,33.16504854
PHL,IAH,321,34
PHL,MSY,100,33
PHL,PBI,174,25.48235294
PHL,FLL,350,37.51515152
PHL,RSW,156,31.28767123
PHL,DTW,169,32.2
PHL,PIT,253,30.03703704
PHL,SAT,75,36.94117647
PHL,RDU,162,35.92857143
PHL,AUS,120,30.87096774
PHL,SMF,48,43.11764706
PHL,IND,100,62.22727273
PHL,PDX,91,28.45454545
PHL,SLC,89,53.03703704
PHL,STT,31,43.53333333
PHL,LGA,53,23.36363636
PHL,DCA,13,12
PHL,PVD,121,15.11764706
PHL,CLE,4,1
PHL,RIC,6,8.333333333
ATL,DFW,2338,44.03551136
ATL,MIA,877,20.79395604
ATL,LAX,578,30.69364162
ATL,ORD,184,44
ATL,CLT,719,28.89035088
ATL,PHL,517,23.82517483
ATL,PHX,311,19.33333333
PBI,ORD,434,31.67261905
PBI,DFW,679,30.19072165
PBI,LAX,77,21.54166667
PBI,LGA,82,43.59090909
PBI,PHL,173,37.43859649
PBI,CLT,354,19.03921569
PBI,DCA,153,23.20634921
JAX,DFW,1045,54.11356467
JAX,PHL,112,22.5
JAX,CLT,552,30.77837838
JAX,DCA,1,0
PIT,DFW,1169,41.09968847
PIT,CLT,633,25.20394737
PIT,LAX,77,32.5
PIT,PHX,171,20.12195122
PIT,PHL,263,24.53211009
COS,DFW,880,48.12955466
DSM,DFW,483,37.72535211
DSM,PHX,87,25.60714286
RIC,DFW,619,61.35648148
RIC,CLT,409,29.69852941
RIC,PHL,6,0
BDL,MIA,318,22.74647887
BDL,DFW,508,29.27868852
BDL,CLT,474,29.41726619
BDL,DCA,3,140
SNA,DFW,2320,25.6716792
SNA,ORD,1011,28.28189911
SNA,PHX,556,23.60773481
FLL,DFW,1610,34.96818182
FLL,ORD,846,40.92631579
FLL,PHL,350,28.6147541
FLL,CLT,615,27.69518717
FLL,DCA,220,31.68627451
FLL,PHX,83,11.05882353
BHM,DFW,221,66.13513514
MEM,DFW,618,53.92890995
MEM,CLT,116,34.1875
CLE,DFW,957,45.66129032
CLE,CLT,336,15.96470588
CLE,PHX,74,16.66666667
CLE,PHL,4,11.33333333
FAT,DFW,489,49.95067265
TUS,DFW,1721,39.67114094
TUS,ORD,484,36.42361111
DAY,DFW,772,32.71615721
ORF,DFW,502,64.84662577
ORF,CLT,185,37.9
IND,DFW,1279,41.63660477
IND,LAX,213,71.73333333
IND,PHX,216,25.27868852
IND,CLT,209,21.5
IND,PHL,21,19.33333333
IND,DCA,22,26.44444444
CMH,DFW,1203,47.77233429
CMH,LAX,79,32
CMH,PHX,169,34.2195122
ELP,DFW,1072,40.32276657
RNO,DFW,618,44.78661088
RNO,ORD,329,28.51181102
RNO,PHX,315,29.97752809
ABQ,DFW,1466,41.0629771
ABQ,CLT,69,8.909090909
PSP,DFW,528,30.76804124
PSP,ORD,194,31.3164557
RSW,DFW,796,34.92481203
RSW,ORD,602,35.93775934
RSW,PHL,159,32.58
RSW,CLT,345,26.52631579
RSW,DCA,1,0
ICT,DFW,164,57.10416667
JAC,DFW,336,31.90588235
JAC,ORD,17,15.66666667
HNL,LAX,1098,81.29963899
HNL,DFW,565,68.8040201
HNL,PHX,227,29.64102564
ORD,SJU,273,32.2804878
ORD,MIA,2656,40.29029029
ORD,LGA,3738,39.16975749
ORD,LAS,1219,38.16631579
ORD,FLL,847,38.77446809
ORD,TUS,485,53.42857143
ORD,BOS,2356,42.37917738
ORD,PSP,197,31.87323944
ORD,DFW,4249,47.30177112
ORD,LAX,2457,32.51345029
ORD,PBI,434,31.38216561
ORD,DCA,2036,40.01092896
ORD,RSW,602,28.84140969
ORD,SFO,1581,39.14972274
ORD,RDU,938,49.30238727
ORD,SJC,535,38.75773196
ORD,DEN,881,35.31782946
ORD,AUS,828,42.26780627
ORD,MCO,1271,39.11405295
ORD,SEA,1225,37.64631043
ORD,EGE,83,75.90909091
ORD,PHX,1430,36.42128603
ORD,SAN,1067,37.18131868
ORD,JFK,482,45.47787611
ORD,TPA,807,41.34090909
ORD,SNA,1012,24.8404908
ORD,MSP,1106,44.91293532
ORD,CLT,1295,33.23846154
ORD,PDX,388,33.75496689
ORD,TUL,228,51.25842697
ORD,RNO,331,51.13888889
ORD,STL,910,45.12732919
ORD,MSY,23,16
ORD,PHL,1153,38.17732558
ORD,EWR,291,62.24277457
